text,sentiment
you're a marvel,Positive
this has dull content,Negative
196 dislikes are surely by the ones who hate programming ;),Negative
someone please explain in 5.03.00 (i<m) and m=i i don't get it,Positive
it offers a balanced view,Neutral
it provides a broad overview,Neutral
i've never been so frustrated watching a video before,Negative
how many times are you going to repeat the same sentence? it is not a good way to teach. maybe that is why your video has gone over one hour.,Negative
impressive,Positive
thank you!,Positive
it's neither impressive nor disappointing,Neutral
the material is presented in a dry manner,Negative
outdated material,Negative
it provides a general overview,Neutral
the presenter clearly has no idea what they're talking about,Negative
you're a creative mastermind,Positive
you’ve made a lot of progress,Positive
thank youu 🎉🎉🎉,Positive
it has greatest information,Positive
i can't believe i wasted my time watching this nonsense,Negative
some viewers may find certain sections more interesting,Neutral
please provide information in hindi,Neutral
how t change the directory of jupyter notebook,Neutral
where can i find the covid_19_data.csv file?,Neutral
it has excellent content,Positive
i've seen better explanations from a toddler,Negative
the pace remains consistent,Neutral
👎,Negative
"i am getting an error while counting the no of unique countries. the error is - column (date, country, etc) are already selected.",Negative
you did it,Positive
some viewers may find certain parts more interesting,Neutral
do you have notes of this video?,Neutral
the presenter's voice is annoying,Negative
the pace remains consistent,Neutral
much awaited ,Positive
this is a astounding video,Positive
this video is a complete waste of bandwidth,Negative
you're a true inspiration,Positive
it offers a general insight,Neutral
this is a divine,Positive
this video is a prime example of wasted potential,Negative
the material is too basic,Negative
you are a masterpiece,Positive
some viewers may find certain sections more engaging,Neutral
😠,Negative
outdated,Negative
the video offers a general overview of the subject matter,Neutral
the presenter's jokes are cringeworthy at best,Negative
incredible work,Positive
amateur,Negative
outstanding,Positive
more examples could enhance the quality of the video,Neutral
"thankss sir , it was amazing",Positive
the information presented is neither groundbreaking nor outdated,Neutral
i have a neutral view of this video,Neutral
this is a useless video,Negative
😞,Negative
very well done,Positive
😄,Positive
this is really a dumb video,Negative
i want a refund for the time i wasted watching this garbage,Negative
extremely dry,Negative
pointless,Negative
clarification is needed on some points,Neutral
"the content is average, nothing special",Neutral
the quality of the video is sufficient for its purpose,Neutral
can i do this? def calculate_pay():,Neutral
*python for data science and machine learning bootcamp,Neutral
you're a true professional,Positive
🥰,Positive
thank you. you are doing a great work for people like us !,Positive
you're a true talent,Positive
some parts are more informative,Neutral
i want my time back after watching this disaster,Negative
overrated,Negative
you're a creative powerhouse,Positive
the content is presented in a dull manner,Negative
goat,Positive
the quality is sufficient for its purpose,Neutral
absolutely breathtaking,Positive
it provides a brief overview,Neutral
this video is outstanding,Positive
this video has its ups and downs,Neutral
lovely handwriting,Positive
give me your contact number brother,Positive
what a great teacher you are,Positive
you’ve shown so much growth,Positive
the video offers a balanced perspective on the topic,Neutral
it's neither impressive nor disappointing,Neutral
i was purchasing a course on data science: transformers for natural language processing and i am looking for someone to split the cost with me,Positive
awful delivery,Negative
some viewers may find certain sections more interesting,Neutral
exemplary,Positive
my stance on this video is neutral,Neutral
simplistic approach,Negative
tnx,Positive
the presenter's incompetence knows no bounds,Negative
the presenter communicates clearly,Neutral
waste of time! i didn't learn anything useful,Negative
i wouldn't recommend this video to my worst enemy,Negative
this is gold. gonna learn this during my vacation ,Neutral
i didn't find this helpful at all,Negative
the examples provided are uninspiring,Negative
i maintain a neutral stance on this,Neutral
absolutely remarkable,Positive
you're a true leader,Positive
incoherent material,Negative
"thank you very much sir with all my heart!!! , i'm currently learning a data science online but unfortunately, it's difficult for me to catch up with the way of teaching of my instructor since i don't have any background in programming. but when i found your channel it,s boost me a lot to learn more and give some extra effort on it!  more power to you sir",Positive
 20002,Neutral
the content is irrelevant to the topic,Negative
absolutely magnificent,Positive
👍🏻,Positive
the information is presented in a disjointed manner,Negative
"overall, it's a mediocre video",Neutral
confusing,Negative
you're a true luminary,Positive
very well-researched and fine-made video this is,Positive
great! thank you.,Positive
you discovered something new,Positive
"neither good nor bad, just average",Neutral
"guys,  can you provide the presentation for revision",Neutral
woah this is y first day in this course and i finished 2 hours already i feel so happy i was planing to study this 1 hour each day but it’s so interesting ❤,Positive
teacher teach java like c c basic advanced level,Positive
😦,Negative
"whoever is watching this, never give up. god is with you",Positive
you worked so hard,Positive
you helped me reach my goal,Positive
is there any need of oops concepts for data science,Neutral
majestic,Positive
i just discovered this channel and am amazed at the content quality,Positive
excellent,Positive
the presentation lacks engagement,Negative
the pace is consistent throughout,Neutral
terrific,Positive
i don't feel particularly strongly about it,Neutral
the english subtitle goes wrong at last minutes of module part,Negative
i expected better quality,Negative
you're on another level,Positive
deserves more likes,Positive
i've had more engaging conversations with a brick wall,Negative
the video lacks coherence,Negative
the video provides a fair overview of the subject matter,Neutral
the video feels tedious,Negative
the visuals in the video are well-done,Neutral
the quality is sufficient for its purpose,Neutral
i'm undecided about whether i liked this video or not,Neutral
    print(odd),Neutral
epic,Positive
the pace of the presentation is consistent,Neutral
this video is a perfect one to learn,Positive
why writing in latex gives me an error?,Negative
when he teach numpy and pandas?,Neutral
it gives a basic understanding,Neutral
hi.. if we assign _r=8 ...not reflecting under %whos syntx why?,Neutral
why the fake accent though,Negative
some viewers may find certain sections more engaging,Neutral
i don't have strong feelings about this video,Neutral
fully understand,Positive
nice teaching,Positive
certain viewers may find certain sections of the video more interesting than others,Neutral
you're a legend,Positive
absolutely phenomenal,Positive
this is some awesome thinking,Positive
you have amazing potential,Positive
genius,Positive
the presenter's explanations are clear,Neutral
i wouldn't recommend this video to my worst enemy,Negative
outstanding job,Positive
absolutely outstanding,Positive
i maintain a neutral stance on this,Neutral
the content is irrelevant,Negative
champion,Positive
the video feels outdated,Negative
you're a creative mastermind,Positive
you're truly exceptional,Positive
it's neither exceptional nor terrible,Neutral
the presenter maintains a neutral tone,Neutral
the presenter's delivery is awkward,Negative
poorly executed,Negative
