text,sentiment
youre marvel,Positive
dull content,Negative
196 dislike surely one hate program,Negative
someone please explain 50300 im mi dont get,Positive
offer balance view,Neutral
provide broad overview,Neutral
ive never frustrate watching video,Negative
many time go repeat sentence good way teach maybe video go one hour,Negative
impressive,Positive
thank,Positive
neither impressive disappointing,Neutral
material present dry manner,Negative
outdated material,Negative
provide general overview,Neutral
presenter clearly idea theyre talk,Negative
youre creative mastermind,Positive
’ make lot progress,Positive
thank youu 🎉🎉🎉,Positive
great information,Positive
cant believe waste time watch nonsense,Negative
viewer may find certain section interest,Neutral
please provide information hindi,Neutral
change directory jupyter notebook,Neutral
find covid19datacsv file,Neutral
excellent content,Positive
ive see well explanation toddler,Negative
pace remain consistent,Neutral
👎,Negative
get error count unique country error column date country etc already select,Negative
,Positive
viewer may find certain part interest,Neutral
note video,Neutral
presenter voice annoy,Negative
pace remain consistent,Neutral
much await,Positive
astound video,Positive
video complete waste bandwidth,Negative
youre true inspiration,Positive
offer general insight,Neutral
divine,Positive
video prime example waste potential,Negative
material basic,Negative
masterpiece,Positive
viewer may find certain section engage,Neutral
😠,Negative
outdated,Negative
video offer general overview subject matter,Neutral
presenter joke cringeworthy best,Negative
incredible work,Positive
amateur,Negative
outstanding,Positive
example could enhance quality video,Neutral
thanks sir amaze,Positive
information present neither groundbreaking outdated,Neutral
neutral view video,Neutral
useless video,Negative
😞,Negative
well do,Positive
😄,Positive
really dumb video,Negative
want refund time waste watching garbage,Negative
extremely dry,Negative
pointless,Negative
clarification need point,Neutral
content average nothing special,Neutral
quality video sufficient purpose,Neutral
def calculatepay,Neutral
python data science machine learning bootcamp,Neutral
youre true professional,Positive
🥰,Positive
thank great work people like u,Positive
youre true talent,Positive
part informative,Neutral
want time back watch disaster,Negative
overrate,Negative
youre creative powerhouse,Positive
content present dull manner,Negative
goat,Positive
quality sufficient purpose,Neutral
absolutely breathtaking,Positive
provide brief overview,Neutral
video outstanding,Positive
video ups down,Neutral
lovely handwrite,Positive
give contact number brother,Positive
great teacher,Positive
’ show much growth,Positive
video offer balance perspective topic,Neutral
neither impressive disappointing,Neutral
purchase course data science transformer natural language processing look someone split cost,Positive
awful delivery,Negative
viewer may find certain section interest,Neutral
exemplary,Positive
stance video neutral,Neutral
simplistic approach,Negative
tnx,Positive
presenter incompetence know bound,Negative
presenter communicate clearly,Neutral
waste time didnt learn anything useful,Negative
wouldnt recommend video bad enemy,Negative
gold gon na learn vacation,Neutral
didnt find helpful,Negative
example provide uninspiring,Negative
maintain neutral stance,Neutral
absolutely remarkable,Positive
youre true leader,Positive
incoherent material,Negative
thank much sir heart im currently learn data science online unfortunately difficult catch way teach instructor since dont background program found channel boost lot learn give extra effort power sir,Positive
20002,Neutral
content irrelevant topic,Negative
absolutely magnificent,Positive
👍🏻,Positive
information present disjointed manner,Negative
overall mediocre video,Neutral
confuse,Negative
youre true luminary,Positive
wellresearched finemade video,Positive
great thank,Positive
discover something new,Positive
neither good bad average,Neutral
guy provide presentation revision,Neutral
woah first day course finish 2 hour already feel happy planing study 1 hour day ’ interesting ❤,Positive
teacher teach java like c c basic advanced level,Positive
😦,Negative
whoever watch never give god,Positive
work hard,Positive
help reach goal,Positive
need oops concepts data science,Neutral
majestic,Positive
discover channel amaze content quality,Positive
excellent,Positive
presentation lack engagement,Negative
pace consistent throughout,Neutral
terrific,Positive
dont feel particularly strongly,Neutral
english subtitle go wrong last minute module part,Negative
expect well quality,Negative
youre another level,Positive
deserves like,Positive
ive engaging conversation brick wall,Negative
video lack coherence,Negative
video provide fair overview subject matter,Neutral
video feel tedious,Negative
visuals video welldone,Neutral
quality sufficient purpose,Neutral
im undecided whether liked video,Neutral
printodd,Neutral
epic,Positive
pace presentation consistent,Neutral
