text,sentiment
great video! very informative and helpful.,Positive
i learned a lot from this. thank you,Positive
awesome content,Positive
this video made my day. keep it up,Positive
i love your channel. subscribed,Positive
good,Positive
awesome,Positive
beautiful,Positive
excellent job,Positive
excellent,Positive
this is some awesome thinking,Positive
what terrific skills you’re showing,Positive
you are an amazing,Positive
nice idea,Positive
you are showing excellent understanding,Positive
"this is clear, concise and complete",Positive
what a powerful argument,Positive
i knew you could do it,Positive
wonderful ideas,Positive
it was pleasure,Positive
keep up the incredible work,Positive
"my goodness, how impressive",Positive
you are showing inventive ideas,Positive
you’ve shown so much growth,Positive
interesting thoughts,Positive
i love your neat work,Positive
i love your work,Positive
doesn’t it feel good to do such great work,Positive
this is fascinating information,Positive
you inspire me,Positive
this is right on target,Positive
what an astounding observation!,Positive
this is very well thought out,Positive
you’ve come a long way,Positive
i can tell you’ve been paying attention,Positive
reading this made my day,Positive
this is very perceptive,Positive
what an accomplishment,Positive
you make a great point here,Positive
i really like your creativity,Positive
your vedioes are exceptional ,Positive
you have brilliant thoughts,Positive
you have calming voice,Positive
thank you!,Positive
very well done,Positive
"i love this training style. in contrast to the power point lectures done in formal education, it's very old school and i love it!",Positive
is this good for data engineers? i mean can a data engineer learn with this?,Positive
"""go buddy, enjoy!! "".. love it :d:d:d:d",Positive
"thank you, really awesome tutorial",Positive
someone please explain in 5.03.00 (i<m) and m=i i don't get it,Positive
"big thank you from the instructor and the whole team. a wonderful tutorial and free of cost. god bless you, my friend!",Positive
"thank you very much sir with all my heart!!! , i'm currently learning a data science online but unfortunately, it's difficult for me to catch up with the way of teaching of my instructor since i don't have any background in programming. but when i found your channel it,s boost me a lot to learn more and give some extra effort on it!  more power to you sir",Positive
many indian watch this video for learning. because it's our opportunity,Positive
you sound like oscar from the office us,Positive
great! thank you.,Positive
i will complete tomorrow goodnight everyone hope you all achieve your dreams,Positive
woah this is y first day in this course and i finished 2 hours already i feel so happy i was planing to study this 1 hour each day but it’s so interesting ❤,Positive
is there something good in udemy course for the python. did they have more practical aspect. or is it sufficient.,Positive
i was purchasing a course on data science: transformers for natural language processing and i am looking for someone to split the cost with me,Positive
data science: transformers for natural langage processing,Positive
*machine learning: natural language processing in python (v2),Positive
iam very great ful to this channel this channel made my dream come true it's really a great harvard university for students like me❤❤❤,Positive
"thank you your course was very helpful, i have now got a basic understanding of python. i found the videos engaging and thoroughly enjoyed it. point ot note - although the course video is 12 hours, if you are a novice like me it will take you over 20 hours to complete, going back and forth on the video to understand when you have misstyped some of the python code!",Positive
"thankss sir , it was amazing",Positive
"just incase any python beginner sees this, i'm looking for an accountability partner. i study better when i have someone else doing the same thing. so if you would love to be my accountability partner, please like this post and let me know how to reach out to you. thanks.",Positive
thanks a lot for this video!,Positive
i thank you wholeheartedly for making this video. this have been utterly and outmost useful. you are outstanding in explaining complex topic and being able to make us understand all the difficult bits.,Positive
thank you man,Positive
nice,Positive
user will enter a floating point number let say 238.915. your task,Positive
give me your contact number brother,Positive
what an amazing course!  thank you sir.,Positive
thanks,Positive
impressive,Positive
"very useful in getting started with python, after that their is another course of freecodecamp regarding pandas which you should see for going for data analysis using pandas",Positive
"bundle of thanks sir ,i have done the course now and i have learn lot of things about python..<br>now ,i am working on it more .... and again thanks sir",Positive
thank youu 🎉🎉🎉,Positive
soo is good,Positive
thank you. you are doing a great work for people like us !,Positive
"i am new to data science i just started so, can anyone help me what next to learn when i finish this course.",Positive
thanks sir,Positive
tnx,Positive
congratulations,Positive
tq,Positive
Fully understand,Positive
good see teacher ❤,Positive
teacher teach java like c c basic advanced level,Positive
video upload 2years ago worth watch 2023 mean 150 video learn c,Positive
good see teacher ❤,Positive
507 brain computer heart 😁😁😁,Positive
madam like specialize c welcome c001lectureure exactly look like pay course watch 👍👍,Positive
like,Positive
this is beautiful,Positive
dazzling examples,Positive
vivid language choice,Positive
you express your ideas so well,Positive
this was a delight to read,Positive
