,text
0,If possible can you make a detailed video how data scietist work. Like how use python excel and sql..?
1,"While creating database/table ,where it get stored.can we change..the location"
2,"Sir i am writing join function but it&#39;s not working sir , I have to create both tables in one schema or 2 schema sir"
3,Thank u sir
4,I found the right recording on right time....really helped me a lot...thanks sir🙏
5,Correction for ALTER example : ALTER TABLE customer<br>ALTER COLUMN Gender TYPE char(10);
6,Thank you so much sir
7,Sir you are really a hero for me
8,nice sir very helpful video
9,Very useful
10,Sir app kya sikhate ho main fan ban gaya apka. 1st video maine apka power bi dekha tha
11,Thsnk you sir
12,Hello @Rishabmishraofficial I am facing problem in inserting and I tried everything but can&#39;t insert or update table. Please can you help.
13,Select sabkuch from customer ;😁
14,@RishabhMishraofficial mere ko pgadmin mai server ko connect karne mai problem aa rhi hai plzz help me
15,plzz hepl me
16,sir mai pgadmin mai server ko connect kar rha hu toh time out ho rha hai har baar
17,Yeh beginner k liye video ni h..jisko SQL k baare mein kuch ni pta uske upar se nikl jyga sab
18,"Select department, avg(amount) as total_amount<br>from Employee<br>where age&gt;30<br>group by department<br>having amount &gt;50000<br>order by total_amount asc<br>limit 10;"
19,"Rishab Bhai, <br><br>Python sikhana ha, doubts agar ho one on one kaise karen apke sath, matlab doubt clear kaise karen? thoda bataiye."
20,It was very much helpful 👍
21,"I have added a column with the help of &quot;ALTER COLUMN&quot;:<br><br>ALTER TABLE customer<br>ADD COLUMN &quot;DEMO_ID&quot; varchar(50)<br><br>Above query ran successfully and column was added, after that was trying to &quot;ALTER COLUMN&quot; :<br><br>ALTER TABLE CUSTOMER<br>ALTER COLUMN &quot;DEMO_ID&quot;char(10)<br><br>Getting error as below :<br><br><br>ERROR:  syntax error at or near &quot;char&quot;<br>LINE 2: ALTER COLUMN &quot;DEMO_ID&quot;char(10)<br>                              ^ <br><br>SQL state: 42601<br>Character: 44<br><br>Can you pl write the ALTER COLUMN query for table &quot;customer&quot; for column named as &quot;DEMO_ID&quot;, just want to change only the datatype not the name of the column."
22,"Mene aaj hi apki video dekhi , or having tak just finsh ki  apne bahut achche se ek ek cheej btaayi is tutorial me , thank you so  much, me apki or bhi videos dekhungi after finish this , Big thanks for you truly teaching  🙏"
23,Really sir apki video dekhkar bilkul bhi dar nahi laga SQL se ❤🎉 it&#39;s amazing and your explanation is very nice<br>Thanks sir😊
24,Such a great initiative of you to teach the quality-est content for free. Thanks Rishabh Bhaiya
25,Sir jo data use kiya hai video mai uuska bhi link dena chahiye tha practical ke liye
26,bhaiya subquery pe ek video banao plzzz
27,Apne insert value wala part ko pura confusion kr diya hai....
28,Error in inserting a value
29,"Hello Rishab,<br>This is by far the best video I found on SQL with simple and detailed explanation although I didn&#39;t quite get some of the advance topics discussed in the end like window functions and CTEs. I guess I have to work on them. Thank you very much for sharing your knowledge and I really appreciate for contribution for people of Non IT and aspiring data analyst. Keep up the wonderful work."
30,Very well explained the Video
31,Sir i can&#39;t abl to change existing column data type
32,"hi rishabh,<br>i am doing data cleaning  project on postgres SQL. in that i want change date format, but i am unable to change this.<br>the dataset date format is month day, year. and i want change this in dd/mm/yyyy.<br>i am use below query but it gives error.<br>UPDATE housing<br>SET SaleDate = TO_CHAR(TO_DATE(SaleDate, &#39;Month DD, YYYY&#39;), &#39;DD/MM/YYYY&#39;);<br><br>ERROR:  function to_date(date, unknown) does not exist<br>LINE 2: SET SaleDate = TO_CHAR(to_date(SaleDate, &#39;Month DD, YYYY&#39;), ...<br>                                                                ^<br>please help me out this."
33,Hello brother I am new subscriber your work is really great thank you very much for teaching us very nicely.
34,"Hi,<br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1082"">18:02</a> <br>please tell me why I am not able to Insert the data, writing the below query as:<br><br>INSERT INTO customer <br>(ID, Name, Age, City, Salary)<br>VALUES<br>(&#39;Sam&#39;, 26, &#39;Delhi&#39;, 9000),<br>(&#39;Ram&#39;, 19, &#39;Bangalore&#39;, 11000),<br>(&#39;Pam&#39;, 31, &#39;Mumbai&#39;, 6000),<br>(&#39;Jam&#39;, 42, &#39;Pune&#39;, 10000);<br><br>After running the above SQL query getting error as below:<br><br>ERROR:  column &quot;id&quot; of relation &quot;customer&quot; does not exist<br>LINE 2: (ID, Name, Age, City, Salary)<br>         ^ <br><br>SQL state: 42703<br>Character: 24<br><br>I have tried by writing or changing the datatype as well, but still same issue."
35,"To remember SQL sequence here is a simple mantra. Just remember the following sentence<br><br>&quot;Some French Waiters Grow Health Oranges&quot;, <br><br>now remember the first letter of each word of the sentence.<br> <br>S = Select, F = From , W = Where, G = Group By, H = Having ,  O = Order by.<br><br>Hope it helps."
36,"Thankyou Rishabh , You have explained SQL in the easiest way possible. 5 /5  Rating for this tutor."
37,"select<br>from <br>where/group<br>having<br>order<br>limit"
38,Thank you so much Rishab sir for this amazing and valuable course😊
39,Bhai in the CTE lecture you have used address  AS a and country AS cc.  But how would we know what&#39;s in these tables? 😢
40,@RishabhMishraOfficial  : Thank you so much Rishabh bhaiya for this course. This is a blessing for all the beginners out there Your each and every video is awesome . Ek hi dil  hai bhaiya kitna baar jitoge.
41,u r wonderful thank u for content
42,Quick Assignment ans=Select-&gt;from-&gt;where-&gt;group by-&gt;having-&gt;order by-&gt;Limit
43,Bhaiya ye complete sql hai ya iske alag bhi sikhna hoga
44,hello ... <br>1st of all these vedios are very helpful.<br>i am beginner i am watching your videos very carefully. i just need to know how i can open pg admin page..<br>is it a soft were or a website.<br>i know my question is very pathetic but i need to know
45,is it sufficinet for entry level data analyst job ????
46,"hello bhia,very helpful and thank you for such videos you are doing great by spreading such  skills and knowledge to all."
