text,sentiment
possible make detailed video data scietist work like use python excel sql,Positive
create databasetable get storedcan changethe location,Neutral
sir write join function work sir create table one schema 2 schema sir,Positive
thank u sir,Positive
find right record right timereally help lotthanks sir🙏,Neutral
correction alter example alter table customeralter column gender type char10,Negative
thank much sir,Positive
sir really hero,Positive
nice sir helpful video,Positive
useful,Neutral
sir app kya sikhate ho main fan ban gaya apka 1st video maine apka power bi dekha tha,Positive
thsnk sir,Positive
hello rishabmishraofficial facing problem insert try everything cant insert update table please help,Neutral
select sabkuch customer 😁,Negative
rishabhmishraofficial mere ko pgadmin mai server ko connect karne mai problem aa rhi hai plzz help,Positive
plzz hepl,Positive
sir mai pgadmin mai server ko connect kar rha hu toh time ho rha hai har baar,Negative
yeh beginner k liye video ni hjisko sql k baare mein kuch ni pta uske upar se nikl jyga sab,Negative
select department avgamount totalamountfrom employeewhere age30group departmenthaving amount 50000order totalamount asclimit 10,Negative
rishab bhai python sikhana ha doubt agar ho one one kaise karen apke sath matlab doubt clear kaise karen thoda bataiye,Positive
much helpful 👍,Positive
added column help alter columnalter table customeradd column demoid varchar50above query run successfully column add try alter column alter table customeralter column demoidchar10getting error error syntax error near char line 2 alter column demoidchar10 sql state 42601 character 44can pl write alter column query table customer column name demoid want change datatype name column,Negative
mene aaj hi apki video dekhi tak finsh ki apne bahut achche se ek ek cheej btaayi tutorial thank much apki bhi video dekhungi finish big thanks truly teach 🙏,Positive
really sir apki video dekhkar bilkul bhi dar nahi laga sql se ❤🎉 amazing explanation nicethanks sir😊,Positive
great initiative teach quality content free thanks rishabh bhaiya,Positive
sir jo data use kiya hai video mai uuska bhi link dena chahiye tha practical ke liye,Neutral
bhaiya subquery pe ek video banao plzzz,Negative
apne insert value wala part ko pura confusion kr diya hai,Neutral
error insert value,Neutral
hello rishabthis far best video find sql simple detailed explanation although didnt quite get advance topic discussed end like window function ctes guess work thank much share knowledge really appreciate contribution people non aspire data analyst keep wonderful work,Positive
well explain video,Positive
sir cant abl change exist column data type,Negative
hi rishabhi data cleaning project postgres sql want change date format unable change thisthe dataset date format month day year want change ddmmyyyyi use query give errorupdate housingset saledate tochartodatesaledate month dd yyyy ddmmyyyyerror function todatedate unknown existline 2 set saledate tochartodatesaledate month dd yyyy please help,Neutral
hello brother new subscriber work really great thank much teaching u nicely,Positive
hi1802 please tell able insert data write query asinsert customer id name age city salary value sam 26 delhi 9000 ram 19 bangalore 11000 pam 31 mumbai 6000 jam 42 pune 10000 run sql query get error belowerror column id relation customer exist line 2 id name age city salary sql state 42703 character 24i tried write change datatype well still issue,Neutral
remember sql sequence simple mantra remember follow sentencesome french waiter grow health orange remember first letter word sentence select f w g group h order byhope help,Positive
thankyou rishabh explain sql easy way possible 5 5 rating tutor,Neutral
select wheregroup order limit,Negative
thank much rishab sir amaze valuable course😊,Positive
bhai cte lecture use address country cc would know whats table 😢,Neutral
rishabhmishraofficial thank much rishabh bhaiya course bless beginner every video awesome ek hi dil hai bhaiya kitna baar jitoge,Positive
u r wonderful thank u content,Positive
quick assignment ansselectfromwheregroup byhavingorder bylimit,Positive
bhaiya ye complete sql hai ya iske alag bhi sikhna hoga,Neutral
hello 1st vedios helpfuli beginner watch video carefully need know open pg admin pageis soft websitei know question pathetic need know,Neutral
sufficinet entry level data analyst job,Positive
hello bhiavery helpful thank video great spread skill knowledge,Positive
easy learn data science fresher 3 year gap,Positive
pls tell intellipaat good data science placement program,Positive
hi write code case statement group,Neutral
anybody help problem 2537 error column custid relation customer exist line 2 custid custname age city salary,Negative
able create table,Neutral
sql seq selectfromwheregroup byhavingorder bylimitrishabh teach energy coolthanks much,Positive
order execution sql 1 from2where3group by4having5select 6order7limit,Positive
suppose csv file contain 5 column want one column import give column sql dont want whole table one column,Negative
delete value one cell one row table,Positive
really love teachersthey r god 😊,Positive
timestamp function work,Positive
really good teacher sir,Positive
thankyou much ❤❤,Positive
thank sir share inform video,Positive
order execution sql 1 2 3 group 4 5 select 6 order 7 top,Negative
get syntax error alter table syntax error near ex alter table customer add column worktime,Neutral
perfect video beginner thank,Positive
window function samaj ny aya please expalin eg,Neutral
rank function use sql ’ use create specify example,Negative
thank,Positive
show insert command say error column custid relation customer exist line 2 custid custname age city salarythis query write insert customer custid custname age city salary value 1 ram 19 delhi 9000 2 sam 23 bangalore 11000 3 pam 32 mumbai 6000 4 jaam 41 pune 10000please tell make mistake,Positive
select limit group order,Negative
order execution group select order limit,Negative
order execution sql select group order limit,Negative
❤ram ram rishabhbhdkna nhi😅bhut acha video h bahut badhiya,Negative
sir like ur course,Positive
thank much,Positive
hello rishabh sirim face issue understand project scenario sql also face issue right complex join subqueries please let know,Neutral
nice session sir learn lot things❤,Positive
helpful vedio beginnersthank,Neutral
thank much amazing mysql course clear explanation practical example make learn breeze im grateful dedication share expertise keep fantastic work,Positive
nice job brother mishra,Positive
hello rishabh software download desktop please share link,Neutral
maza aya gaya bro video dekhke please make tutorial sa alteryx python also,Positive
hi rishabhim confuse get two row join query table customerid number could explain,Negative
aoasir im newhelp version u use video please sooon possible,Neutral
thank much mentor 🙏 god bless keep teach u 😊,Positive
bhadak jaega hilarious 😂😂 5654,Positive
object database,Positive
nice explain sir,Positive
hello rishabh ive follow content past three four month come nonit background im eager acquire data analyst skill videos inspire make believe also transition data analyst role month im bit confuse one aspect though learn necessary skill maintain practice specific goal set keep engage continuously improve,Positive
nicely explain,Neutral
thanks great tutorial sir😊,Positive
rishabhmishraofficial thank course please share step install configuration postgre,Positive
25 march 2024,Neutral
unable copy data csv file error could open file cusersrj371downloadspaymentcsv read permission deny hint copy instructs postgresql server process read file may want clientside facility psqls copy sql state 42501,Neutral
sir bahut koshish kr rha hu lekin sql smjh ni aara actually koi query ya question milta h uska solution ni kr pa rha,Positive
great work bro power,Positive
bro create table microsft server tel project relate sql useful data analytics course,Neutral
vai 3250 code show error classroom data sql,Positive
thnx🎉,Positive
